escuela,sexo,edad,tipo_hogar,tamano_familia,estado_padres,educacion_madre,educacion_padre,trabajo_madre,trabajo_padre,apoderado,tiempo_viaje,tiempo_estudio,reprobaciones,soporte_educacional,soporte_familiar,pago_extra,actividades,ed_superior,internet,relacion_amorosa,relacion_familiar,tiempo_libre,salir,alcohol_dia,alcohol_fin_de_semana,salud,ausencias,nota_final
GP,M,18,U,IMenor3,S,4,4,en_casa,profesor,madre,2,2,0,si,no,no,no,si,no,no,4,3,4,1,1,3,6,6
GP,M,17,U,IMenor3,J,1,1,en_casa,otro,padre,1,2,0,no,si,no,no,si,si,no,5,3,3,1,1,3,4,6
GP,M,15,U,IMayor3,J,1,1,en_casa,otro,madre,1,2,3,si,no,si,no,si,si,no,4,3,2,2,3,3,10,10
GP,M,15,U,IMenor3,J,4,2,salud,publico,madre,1,3,0,no,si,si,si,si,si,si,3,2,2,1,1,5,2,15
GP,M,16,U,IMenor3,J,3,3,otro,otro,padre,1,2,0,no,si,si,no,si,no,no,4,3,2,1,2,5,4,10
GP,H,16,U,IMayor3,J,4,3,publico,otro,madre,1,2,0,no,si,si,si,si,si,no,5,4,2,1,2,5,10,15
GP,H,16,U,IMayor3,J,2,2,otro,otro,madre,1,2,0,no,no,no,no,si,si,no,4,4,4,1,1,3,0,11
GP,M,17,U,IMenor3,S,4,4,otro,profesor,madre,2,2,0,si,si,no,no,si,no,no,4,1,4,1,1,1,6,6
GP,H,15,U,IMayor3,S,3,2,publico,otro,madre,1,2,0,no,si,si,no,si,si,no,4,2,2,1,1,1,0,19
GP,H,15,U,IMenor3,J,3,4,otro,otro,madre,1,2,0,no,si,si,si,si,si,no,5,5,1,1,1,5,0,15
GP,M,15,U,IMenor3,J,4,4,profesora,salud,madre,1,2,0,no,si,si,no,si,si,no,3,3,3,1,2,2,0,9
GP,M,15,U,IMenor3,J,2,1,publico,otro,padre,3,3,0,no,si,no,si,si,si,no,5,2,2,1,1,4,4,12
GP,H,15,U,IMayor3,J,4,4,salud,publico,padre,1,1,0,no,si,si,si,si,si,no,4,3,3,1,3,5,2,14
GP,H,15,U,IMenor3,J,4,3,profesora,otro,madre,2,2,0,no,si,si,no,si,si,no,5,4,3,1,2,3,2,11
GP,H,15,U,IMenor3,S,2,2,otro,otro,padre,1,3,0,no,si,no,no,si,si,si,4,5,2,1,1,3,0,16
GP,M,16,U,IMenor3,J,4,4,salud,otro,madre,1,1,0,no,si,no,no,si,si,no,4,4,4,1,2,2,4,14
GP,M,16,U,IMenor3,J,4,4,publico,publico,madre,1,3,0,no,si,si,si,si,si,no,3,2,3,1,2,2,6,14
GP,M,16,U,IMenor3,J,3,3,otro,otro,madre,3,2,0,si,si,no,si,si,no,no,5,3,2,1,1,4,4,10
GP,H,17,U,IMenor3,J,3,2,publico,publico,madre,1,1,3,no,si,no,si,si,si,no,5,5,5,2,4,5,16,5
GP,H,16,U,IMayor3,J,4,3,salud,otro,padre,1,1,0,no,no,si,si,si,si,no,3,1,3,1,3,5,4,10
GP,H,15,U,IMenor3,J,4,3,profesora,otro,madre,1,2,0,no,no,no,no,si,si,no,4,4,1,1,1,1,0,15
GP,H,15,U,IMenor3,J,4,4,salud,salud,padre,1,1,0,no,si,si,no,si,si,no,5,4,2,1,1,5,0,15
GP,H,16,U,IMayor3,J,4,2,profesora,otro,madre,1,2,0,no,no,no,si,si,si,no,4,5,1,1,3,5,2,16
GP,H,16,U,IMayor3,J,2,2,otro,otro,madre,2,2,0,no,si,no,si,si,si,no,5,4,4,2,4,5,0,12
GP,M,15,R,IMenor3,J,2,4,publico,salud,madre,1,3,0,si,si,si,si,si,si,no,4,3,2,1,1,5,2,8
GP,M,16,U,IMenor3,J,2,2,publico,publico,madre,1,1,2,no,si,si,no,si,si,no,1,2,2,1,3,5,14,8
GP,H,15,U,IMenor3,J,2,2,otro,otro,madre,1,1,0,no,si,si,no,si,si,no,4,2,2,1,2,5,2,11
GP,H,15,U,IMenor3,J,4,2,salud,publico,madre,1,1,0,no,no,si,no,si,si,no,2,2,4,2,4,1,4,15
GP,H,16,U,IMayor3,S,3,4,publico,otro,madre,1,2,0,si,si,no,si,si,si,no,5,3,3,1,1,5,4,11
GP,H,16,U,IMenor3,J,4,4,profesora,profesor,madre,1,2,0,no,si,si,si,si,si,si,4,4,5,5,5,5,16,11
